IND1990,emp_tot,emp_for,emp_nat,emp_noncit,n_obs,n_obs_for,foreign_share,noncit_share,usable
191,1260057.7742000006,116798.48930000002,1143259.2849000013,66946.2326,454,36,0.0926929635223705,0.05312949451266516,TRUE
370,1219713.6523000018,90400.89709999997,1129312.7552000014,60757.34229999998,349,34,0.07411649195656038,0.04981279186752601,FALSE
670,1200120.2626,103683.2522,1096437.0104000003,43845.7728,341,31,0.08639405185558276,0.03653448255678172,FALSE
472,1199669.0703000005,76239.80539999998,1123429.2649,28458.3311,339,19,0.06355069684420116,0.023721817795038628,FALSE
301,1138020.5164999994,338653.1828,799367.3336999995,259890.29590000006,297,71,0.297580911670673,0.22837048377589614,FALSE
232,1131344.6642000007,181403.65700000004,949941.0072,115941.40060000001,352,48,0.16034340616108766,0.10248106016567886,FALSE
41,1118836.1999000006,2655.2178999999996,1116180.9820000005,0,1061,7,0.0023731962732679887,0,TRUE
540,1102815.4993999994,214710.48289999997,888105.0165,84995.12860000001,344,53,0.19469302255618995,0.07707103195978174,FALSE
221,1090346.0827,226162.08420000004,864183.9984999992,107697.93919999998,311,61,0.20742229259902495,0.09877408733684809,FALSE
201,899042.0256999998,130384.11889999999,768657.9068,14807.9252,244,20,0.14502561078663936,0.016470781984268705,FALSE
261,893430.0855000003,119102.576,774327.5095000003,49784.370500000005,272,32,0.13330934108105985,0.05572273791534412,FALSE
361,864928.0227000002,99409.4336,765518.5890999999,68860.7976,267,28,0.11493376441854528,0.0796144832780893,FALSE
220,712337.8831000003,166702.76729999998,545635.1158000001,121196.69009999998,214,44,0.23402204382916092,0.17013932990980066,FALSE
252,660975.3588999998,116237.7078,544737.6510999999,28429.082199999997,189,27,0.17585785345076052,0.04301080489189778,FALSE
130,591978.7966000004,67486.5484,524492.2482000003,62892.814,138,18,0.11400163111855612,0.10624166669688447,FALSE
140,352439.6882000001,90482.1853,261957.50289999996,37279.4829,122,23,0.25673097647462956,0.10577549620020346,FALSE
132,302879.01969999995,46904.1549,255974.86480000007,25091.236499999995,98,14,0.15486102321137435,0.08284243829385321,FALSE
