OCC2010,emp_tot,emp_for,emp_nat,emp_noncit,n_obs,n_obs_for,foreign_share,noncit_share,usable
2145,15699856.52739999,1901556.8542000006,13798299.673199981,343177.574,4465,447,0.12111937780331501,0.021858643956463766,TRUE
5110,15543860.04160001,1668771.3682000001,13875088.673400018,641251.3706000001,4754,412,0.10735887763617723,0.04125431964028369,TRUE
1240,15223675.515000014,3465120.1422999976,11758555.372700008,1881813.9148,4297,889,0.2276138990801391,0.12361101055693371,TRUE
2040,14845870.476100044,1851119.167199999,12994751.308900034,811844.5918000002,4748,483,0.12468916323768718,0.05468487638410737,TRUE
4620,14841820.211299997,1304020.3873,13537799.824000003,605850.5630000005,4167,311,0.08786121707007127,0.04082050276681892,TRUE
1460,14741996.803000012,2843084.5637999987,11898912.239200026,1298593.0071999999,4025,676,0.19285613759063006,0.08808799951277528,TRUE
7330,14342049.785500012,2143747.0979999998,12198302.687500028,1128149.932099999,4413,513,0.14947285290888854,0.07866029953686064,TRUE
1010,14322098.434499979,3814912.6534000016,10507185.781099971,1829160.9367000002,3891,909,0.2663654820448935,0.12771598694600517,TRUE
840,14255175.921000013,2393213.7031,11861962.217900012,857857.6266999997,3696,587,0.1678838420769285,0.060178676955943186,TRUE
6320,13962380.49960001,1657663.8634999988,12304716.636099996,1065281.9846999994,4849,436,0.11872358467436746,0.07629658744298777,TRUE
2720,13588973.756900024,1564454.621799998,12024519.135100042,736871.2399999999,3807,367,0.11512676746510167,0.05422567245932324,TRUE
