STATEFIP,nat_epop_prime_pre,nat_unrate_prime_pre,for_epop_prime_pre,for_unrate_prime_pre,for_pop_pre,tot_pop_pre,construction_emp_share_pre,n_obs_pre,n_for_obs_pre,nat_epop_prime_post,nat_unrate_prime_post,for_epop_prime_post,for_unrate_prime_post,for_pop_post,tot_pop_post,construction_emp_share_post,n_obs_post,n_for_obs_post,state_name,d_nat_epop,d_nat_unrate,d_for_epop,d_for_unrate,d_log_for_pop,for_share_pre
44,0.834492385492491,0.03754659946459596,0.7896173250559466,0.03426577644632299,2084471.7377000037,10887551.986900033,0.057823771056561064,8635,1530,0.8351737480948077,0.026057757385487074,0.7951721461706047,0.06845024346388315,1843128.4586999998,10206796.996600017,0.052064264248821324,9239,1464,Rhode Island,6.813626023166597e-4,-0.011488842079108885,0.005554821114658104,0.03418446701756016,-0.12305108280861354,0.19145458411661798
45,0.7893787152997341,0.03893054664293101,0.7566563512942225,0.036290835945278724,4910384.222500007,52400740.921199836,0.07915575934945826,17055,1567,0.8236559632093711,0.03340738388406797,0.7908849053484696,0.027120469447351296,4687132.720000001,49686526.91039981,0.08174100509999059,14774,1251,South Carolina,0.03427724790963693,-0.00552316275886304,0.03422855405424707,-0.009170366497927428,-0.04653115663970908,0.09370829755793407
46,0.878351017142948,0.016776164003647613,0.8429674298089278,0.03256080268720467,419664.1633999999,8575036.986199975,0.06061969039214461,11295,506,0.8490813802461017,0.021990366361911023,0.7493902165868183,0.029582416854960256,470847.1198000004,7986934.982299993,0.06911738110478209,9709,491,South Dakota,-0.029269636896846363,0.00521420235826341,-0.09357721322210955,-0.0029783858322444123,0.11507867444928266,0.048940216126808093
47,0.7911747481847139,0.025937205547146697,0.7651990345716022,0.021196252292432303,5461982.615400004,68741701.88630018,0.08915015513304472,18361,1358,0.7830482260490444,0.03426852306426276,0.746974090750492,0.028612823145984102,5484199.207800019,64456629.829899654,0.08924174746212474,15270,1106,Tennessee,-0.008126522135669445,0.00833131751711606,-0.018224943821110173,0.0074165708535517995,0.00405924609420083,0.07945661026016211
48,0.8202164785416369,0.03286446456079036,0.7669561952629083,0.04216535589546382,69560977.41040005,286041826.636401,0.09185173116967037,57352,13912,0.8079843660547071,0.040592831792226836,0.7688579339446823,0.037137360801977146,62584002.006199926,271779335.8880048,0.09082568330141653,48644,10784,Texas,-0.012232112486929791,0.007728367231436474,0.0019017386817740123,-0.005027995093486677,-0.10569405427681744,0.2431846357170056
49,0.8125477301868789,0.026958319662722302,0.7958845951443368,0.03751478230188486,3602139.731400006,31485695.948899824,0.08580587450867688,16010,1807,0.8188051132078245,0.02704411906989094,0.8130154332485661,0.014053407623024313,3823468.1624999964,30140561.947099756,0.07882890644891695,13978,1711,Utah,0.006257383020945584,8.57994071686366e-5,0.017130838104229218,-0.023461374678860548,0.059629867945041326,0.11440559348747291
50,0.8522943558595744,0.022838682300861897,0.7784774632087104,0.027044751481144682,395159.74859999993,6536514.990300002,0.07025316618766461,14135,846,0.8216747438822523,0.024479474783246788,0.8894924414661382,0.032682751712586104,284169.1992999998,5991784.971899943,0.07094334622625179,11568,522,Vermont,-0.030619611977322103,0.001640792482384891,0.11101497825742779,0.005638000231441422,-0.3297202770355607,0.0604541945037081
51,0.8369715174344892,0.028713464151478994,0.850029478948523,0.022938801177649785,13926541.669,82961846.92079999,0.06332007116026919,18118,2923,0.8253342018061279,0.03663611358110904,0.8150933417275503,0.033985947949704366,12803238.476700015,77846659.90510032,0.06387981367207292,14601,2276,Virginia,-0.011637315628361233,0.007922649429630047,-0.03493613722097266,0.01104714677205458,-0.08409834708402997,0.16786682295411112
53,0.7954687786169954,0.04403308888547856,0.7826192601841236,0.043905865566574435,13869714.772700006,75727408.9604997,0.06807536993750411,18583,3350,0.7987030701380311,0.04971177090151935,0.7791320436422193,0.04999925801064843,14235093.24420002,71549114.02050033,0.07164096542922196,16590,3177,Washington,0.003234291521035715,0.005678682016040791,-0.0034872165419043144,0.006093392444073996,0.026002601274083048,0.18315316690598263
54,0.754120538881395,0.03574345648043654,0.7814529846954597,0.01486974388110478,389915.8221999997,17178330.97449993,0.07716215193941947,21173,436,0.7532186138142389,0.03628632395181152,0.8004738206845426,0.0196482469885727,337363.9078999998,15795555.952400006,0.07358771018451657,17837,346,West Virginia,-9.019250671560286e-4,5.428674713749831e-4,0.019020835989082996,0.00477850310746792,-0.14476868217466077,0.022698120252706934
55,0.8589288481997146,0.025512114852330386,0.7776842534173488,0.038410438109773695,3253866.3433,57550523.8996008,0.06868300476335112,14472,793,0.8517457839845541,0.029414468288249375,0.8774208282324126,0.02373920802773862,3710670.6465000026,53461203.88849983,0.07201614815470363,11376,696,Wisconsin,-0.007183064215160462,0.003902353435918989,0.09973657481506382,-0.014671230082035074,0.13136869416545238,0.0565393001282925
56,0.8406466731414395,0.028578857709724726,0.8063993718638758,0.029749078844813905,220695.09519999992,5596513.983299977,0.07850233997531819,14043,534,0.8202197471777948,0.026701159103191423,0.7572240656205381,0.036226784734694435,205113.08339999994,5194037.991399982,0.09307438045321621,12435,454,Wyoming,-0.020426925963644704,-0.0018776986065333033,-0.04917530624333766,0.006477705889880531,-0.07322063579248983,0.039434386451736754
