state_name,industry_name,emp_start,emp_end,growth
Wisconsin,Mining and Logging,4.1,4.1,0
Wisconsin,Construction,143.8,154.7,0.07579972183588302
Wisconsin,Manufacturing,461.1,458.1,-0.006506180871828193
Wisconsin,Professional and Business Services,329,333.4,0.013373860182370745
Wisconsin,Leisure and Hospitality,290.1,294.8,0.01620130989314017
Wisconsin,Government,420.2,412.3,-0.01880057115659206
Wyoming,Mining and Logging,15.8,15.4,-0.025316455696202556
Wyoming,Construction,23.8,23.9,0.004201680672268893
Wyoming,Manufacturing,10.5,10.3,-0.01904761904761898
Wyoming,Professional and Business Services,22.1,21.7,-0.018099547511312264
Wyoming,Leisure and Hospitality,38.1,39.3,0.03149606299212593
Wyoming,Government,71.2,71.1,-0.0014044943820226141
Puerto Rico,Mining and Logging,0.6,0.6,0
Puerto Rico,Construction,38.5,38.9,0.010389610389610393
Puerto Rico,Manufacturing,81.5,81.2,-0.0036809815950920033
Puerto Rico,Professional and Business Services,136.1,134.4,-0.012490815576781666
Puerto Rico,Leisure and Hospitality,98.5,104.9,0.06497461928934012
Puerto Rico,Government,196.6,194.5,-0.010681586978636748
Virgin Islands,Leisure and Hospitality,6.5,5.3,-0.18461538461538463
Virgin Islands,Government,10.8,10.3,-0.04629629629629628
