OCC2010,nat_emp_0,nat_lf_0,nat_unemp_0,nat_emp_nc_0,nat_lf_nc_0,nat_unemp_nc_0,for_emp_0,nat_hrs_0,n_nat_0,nat_emp_1,nat_lf_1,nat_unemp_1,nat_emp_nc_1,nat_lf_nc_1,nat_unemp_nc_1,for_emp_1,nat_hrs_1,n_nat_1,foreign_share,emp_tot,d_log_nat_emp,d_log_nat_emp_nc,d_log_for_emp,d_nat_unrate,d_nat_unrate_nc,d_nat_hrs
1107,11441716.337,11698958.997099994,257242.6601,4859940.623700007,5000419.820800006,140479.19710000002,3338004.905400002,40.60675498684735,3317,9423611.112799987,9766051.590199992,342440.4773999999,3807860.878500004,3903369.0761000034,95508.19760000003,2966456.2701000012,40.88487457465595,2612,0.21742099631241493,40352863.98970019,-0.19404764371831362,-0.24395863823770902,-0.11800522943715919,0.01307586461027676,-0.0036253363283459336,0.2781195878086038
1220,1689265.7336000022,1733520.5869000019,44254.8533,319911.83470000006,327827.55750000005,7915.7228000000005,274259.19509999995,40.02791565200432,560,1729482.3731000011,1753648.8799000012,24166.506800000003,345710.34089999995,345710.34089999995,0,112375.32489999998,40.8233688311678,467,0.1347294147532151,5405450.4648000095,0.02352820007530454,0.07755581814087087,-0.8922292427609513,-0.011748189548267413,-0.02414599571910607,0.7954531791634807
1240,3956779.703099996,4042002.6027999963,85222.8997,583033.5305000001,603284.3466000003,20250.8161,1126053.5554000002,40.62007233843963,1164,3829552.8413999984,4043791.0739999996,214238.2326,520949.52929999994,546351.2798,25401.7505,1946063.4182999996,40.15632699367353,1123,0.2276138990801391,15223675.515000014,-0.03268244336303994,-0.1125915341025916,0.5470894811786309,0.031895224513412285,0.01292582606332321,-0.46374534476609597
1300,2347485.1188000026,2409550.619900002,62065.501099999994,228633.2403,234441.3614,5808.1211,417239.74899999995,41.375417520881896,700,2525729.9265,2566484.385600001,40754.45909999999,270651.03859999997,274749.413,4098.3744,704982.0921999997,41.34653773263585,718,0.15837227023126638,8079505.49569998,0.07318550784292732,0.1687111617375816,0.5245114071195491,-0.009878634513714731,-0.00985752986969067,-0.028879788246044313
1310,535319.6978000003,539007.8405000002,3688.1427,92140.97940000001,95829.12210000001,3688.1427,71980.2589,43.297861428972915,178,402651.9052,402651.9052,0,81173.7994,81173.7994,0,36584.989499999996,42.714253972797685,119,0.09493577560852122,1621372.341599998,-0.2847917045227,-0.12672726131656908,-0.6767538661437875,-0.006842465773000196,-0.03848665853529717,-0.5836074561752298
1320,1872242.657899999,1872242.657899999,0,217599.821,217599.821,0,326493.44700000004,40.874966468780876,502,1873554.7061000012,1885989.8955000008,12435.189400000001,125572.88440000001,125572.88440000001,0,254007.56439999994,41.2004456540132,428,0.14831660302964186,6272123.991500011,7.005441705274507e-4,-0.5497713501793733,-0.2510458303935188,0.006593454943565998,0,0.3254791852323251
1350,776814.7671999997,776814.7671999997,0,55134.22670000001,55134.22670000001,0,133745.29890000002,42.65405605906712,216,676529.0533999994,687716.9228999995,11187.8695,40833.8466,40833.8466,0,307806.21929999994,41.6744179894743,190,0.14583745535495105,2843042.161499999,-0.13822653376931804,-0.3002593865051004,0.8335331901064862,0.016268131737724914,0,-0.9796380695928235
1360,4860155.236100002,4927565.648200001,67410.4121,605130.4030000004,605130.4030000004,0,1176912.2608999999,41.83944584462387,1543,4831823.642599998,4957271.278199999,125447.63559999997,513109.3808999998,531504.0099999997,18394.6291,1089865.9423999998,41.81366942159703,1420,0.19596108958059616,18272768.736199975,-0.005846416826482681,-0.1649549363820597,-0.0768395807561788,0.011625517210132077,0.03460863653690968,-0.02577642302684069
1400,756131.4448999998,771026.3585,14894.9136,206844.49489999996,206844.49489999996,0,319470.0527000001,40.53663415228591,203,560886.0447999999,560886.0447999999,0,135592.02670000002,135592.02670000002,0,372909.7539,41.14848396235972,140,0.34463113120945593,2964901.5734999985,-0.29869747379091294,-0.4223167049517791,0.15467290606510353,-0.0193182936430052,0,0.6118498100738066
1410,2346971.821200001,2411728.1088000014,64756.2876,483806.6219000002,493642.2388000002,9835.6169,872962.8140999995,41.64025318093082,742,2410780.6082000015,2457590.5828000023,46809.97459999999,459512.596,490276.377,30763.780999999995,918421.3269999998,41.38596079402667,651,0.2627385596824811,9765663.028300008,0.026824688383586093,-0.05151893152490672,0.05076328780360129,-0.007803475059526631,0.0428232492641157,-0.25429238690414735
