STATEFIP,nat_epop_0,nat_lfpr_0,nat_unrate_0,for_epop_0,for_pop_0,nat_n_0,per_0,nat_epop_1,nat_lfpr_1,nat_unrate_1,for_epop_1,for_pop_1,nat_n_1,per_1,foreign_share,emp_tot,d_epop,d_lfpr,d_unrate,d_log_for_pop
13,0.8145621956514333,0.8356499620205916,0.025235167028751226,0.7762973590898345,10475240.104299996,7751,pre,0.8059009750845885,0.8288870284168864,0.027731225781394347,0.7771141675995447,8357335.063600006,6575,post,0.17261293139781603,186985162.37299913,-0.008661220566844818,-0.006762933603705168,0.0024960587526431204,-0.22587478321578303
15,0.810776726830287,0.8316342357263713,0.025080147016634868,0.8053646906768177,1179196.0210000016,4923,pre,0.8478220157753932,0.86395517214998,0.018673603555655272,0.813061725557845,1091133.0679000006,4393,post,0.19880986709402937,23539309.61779985,0.03704528894510617,0.03232093642360867,-0.006406543460979595,-0.07761619996804647
16,0.8196715227765882,0.8389940821327192,0.023030626517666058,0.7811161318162686,937642.7915999994,7253,pre,0.8157670477981093,0.8451254644781819,0.034738530447901594,0.7997812030904212,827332.1608999998,6259,post,0.091441087425413,34385166.32869982,-0.0039044749784789,0.0061313823454627325,0.011707903930235537,-0.12516279731426572
17,0.8273742977409533,0.8641669079468267,0.0425758147731989,0.7737718118798114,13120111.624300009,9390,pre,0.8247359592337703,0.8637553387671831,0.04517411098043665,0.7742662811576215,11480369.946900021,7329,post,0.19284954022674664,223252599.23450252,-0.00263833850718298,-4.115691796435783e-4,0.0025982962072377547,-0.13350767571752797
18,0.8221644598607115,0.8490614845764001,0.03167853589437933,0.7777735107709564,3482287.4833000004,6402,pre,0.8199666330348881,0.8470117913794101,0.03193008482264083,0.8156371514427838,3884903.2346000005,5200,post,0.09183659674525908,118745195.22809924,-0.002197826825823368,-0.002049693196989999,2.5154892826149966e-4,0.10940867543880728
19,0.872666567872217,0.8926355570287702,0.022370819758762244,0.775243842386396,1584215.0875000015,4134,pre,0.863978019948905,0.8917310379105213,0.031122633150289816,0.8073799430257369,1473564.4166999997,4073,post,0.07898042427014822,59528250.50950027,-0.008688547923311973,-9.045191182488477e-4,0.008751813391527571,-0.07240483270026665
20,0.8529413947020532,0.8805246803035661,0.031325965323316204,0.8016024876721827,1893888.7659999984,4592,pre,0.8478869854768724,0.8772110635495557,0.03342875995433421,0.8131549752762335,1294213.7467000014,4238,post,0.10466544894828968,53281734.58229962,-0.005054409225180856,-0.003313616754010429,0.002102794631018007,-0.38072889800789333
21,0.7796020671840331,0.8120224912800569,0.03992552477815805,0.7090258776818357,1985917.5186999966,4300,pre,0.7662786251773682,0.7973783019681591,0.03900241167088142,0.8263651649058341,1820207.28,3831,post,0.08522124496232976,71376403.33919983,-0.01332344200666491,-0.014644189311897815,-9.231131072766283e-4,-0.08713064867733245
22,0.7588475211985598,0.790288044932439,0.03978362564824918,0.7091489041375144,1879106.5008000005,8423,pre,0.7718128473318618,0.8018945972317125,0.03751334652172277,0.7154932131579469,1767409.364399999,6702,post,0.07183822459146175,71539798.78019996,0.012965326133302035,0.011606552299273543,-0.0022702791265264075,-0.06128155984331762
23,0.8138338990683149,0.8299610817757452,0.019431251731618217,0.7212454238032446,262986.8893999999,2952,pre,0.818671813410235,0.8412343791780879,0.02682078422650527,0.644512622132207,249370.83120000007,3110,post,0.03499763893571395,24269175.702400085,0.0048379143419200465,0.011273297402342619,0.007389532494887052,-0.05316311023317155
