IND1990,nat_emp_0,nat_lf_0,nat_unemp_0,nat_emp_nc_0,nat_lf_nc_0,nat_unemp_nc_0,for_emp_0,nat_hrs_0,n_nat_0,nat_emp_1,nat_lf_1,nat_unemp_1,nat_emp_nc_1,nat_lf_nc_1,nat_unemp_nc_1,for_emp_1,nat_hrs_1,n_nat_1,foreign_share,emp_tot,d_log_nat_emp,d_log_nat_emp_nc,d_log_for_emp,d_nat_unrate,d_nat_unrate_nc,d_nat_hrs
270,3430897.6032000035,3510416.5348000033,79518.93160000001,2709278.029300004,2788087.669400003,78809.6401,440991.3185999999,43.45163618418301,1082,2552628.4635000005,2641049.3038,88420.8403,1860137.4188,1936996.9844,76859.5656,328609.53049999994,42.633047650552435,659,0.10768846774213216,10952074.79619998,-0.2956983205458261,-0.3760318234744968,-0.2941549810086812,0.010827157580207868,0.011413197524300589,-0.8185885336305745
271,699835.7648,732463.1539000003,32627.3891,569460.7587,593791.1339000001,24330.375200000002,107195.4759,43.88148206217804,201,568791.4395000001,573733.3792000001,4941.9397,467401.8951,469947.12110000005,2545.226,72730.5848,42.10824953362352,163,0.12332777801223808,2203232.9226999995,-0.20733185753084626,-0.19750039903073002,-0.3878920504881851,-0.035931099346153975,-0.035558651563019794,-1.7732325285545159
272,480322.4554,480322.4554,0,362944.15929999994,362944.15929999994,0,44436.001,41.94484437932991,160,637836.6639000004,637836.6639000004,0,471143.74340000004,471143.74340000004,0,42373.5714,41.180824831077715,170,0.12003253664332178,1871647.895500001,0.2836245774313291,0.2609142438397516,-0.047525122365778216,0,0,-0.7640195482521932
280,484928.14009999996,484928.14009999996,0,385481.38579999993,385481.38579999993,0,4742.4487,42.84483573799164,153,336327.84939999983,351268.1657999998,14940.3164,240233.24029999995,255173.5567,14940.3164,42097.24949999999,44.04503652632275,104,0.13002844953513676,1685394.1116999995,-0.365914288719674,-0.47288261997524117,2.1834288003235773,0.04253250893366326,0.058549626353191796,1.2002007883311094
281,365138.50450000016,365138.50450000016,0,298346.16220000014,298346.16220000014,0,126354.82829999998,43.06120685990468,134,315098.3114999999,347726.6884999999,32628.377,172061.49599999998,172061.49599999998,0,115988.9327,41.189388671979465,103,0.20333229330495609,1617935.981800001,-0.14739205585509474,-0.550402482673098,-0.08559926800006856,0.09383339869812729,0,-1.8718181879252143
282,3105560.619199998,3176530.626999997,70970.00779999999,2438292.7615000014,2509262.7693000017,70970.00779999999,470881.46029999986,42.4635160039259,926,2457202.9805,2536075.277400001,78872.29689999999,1982046.388800001,2051837.2480000013,69790.85919999999,275301.67400000006,42.71572938358594,699,0.13249877049189562,11338779.262799976,-0.2341705495023092,-0.2071682658201386,-0.5367388929257224,0.008758152709831362,0.005730626951700114,0.2522133796600343
290,2436316.2221000027,2512200.644900003,75884.4228,2182169.019400002,2258053.4422000023,75884.4228,483184.8547,40.62656249782518,799,2472599.2250000024,2518793.372800002,46194.1478,1992289.7798000013,2027213.5895000012,34923.809700000005,450501.4064999999,41.80382380114115,715,0.15086127691539808,9458015.092899991,0.014782761704678293,-0.09103472481132258,-0.07003810324929027,-0.011866561821881016,-0.01637862960190396,1.177261303315973
292,600294.7143000002,608108.6153000002,7813.901,402010.6122999999,402010.6122999999,0,86698.243,42.640711864856776,219,417535.1155,438842.3141,21307.1986,308749.2159,330056.4145,21307.1986,91352.4152,44.27018803772889,175,0.12583995138016052,2059743.2076,-0.36305207538559614,-0.2639491386829782,0.05229110314693486,0.03570368452578348,0.06455623240129453,1.629476172872117
300,3342217.2522000023,3467642.6646000007,125425.41239999999,2574984.6197,2690170.610099999,115185.9904,620643.0629000004,41.499978204636605,1047,3873668.9877000027,3944036.537800004,70367.5501,3024463.2710000016,3074672.5448000026,50209.2738,688196.1617999998,42.25843835688379,1061,0.16971715680302543,13176949.075900003,0.14756768205187143,0.16089008349984724,0.10331777744351633,-0.018328718503883488,-0.026487397049101736,0.7584601522471814
310,535665.7207,540732.4127999999,5066.6921,357888.56779999996,361411.7871999999,3523.2194,67248.2411,42.904029503613955,160,470748.80040000024,470748.80040000024,0,308310.4859,308310.4859,0,105622.57199999999,42.887102803756804,128,0.06236053243575441,1586012.856800001,-0.12918569184644113,-0.1491143285047798,0.45148123493781434,-0.009370054356023987,-0.009748490571643427,-0.01692669985715156
311,1414437.3860999998,1461334.6766999995,46897.29060000001,897248.2215999997,936496.2092999996,39247.987700000005,174461.0253,43.239913868218586,523,1047631.4550000014,1110241.091700001,62609.63670000001,757076.5449000001,783147.3723000003,26070.8274,138770.8343,42.61506092579811,397,0.09973328043957132,4800299.902800006,-0.30019998605826004,-0.16986818352766164,-0.22887746750845395,0.02430073506023777,-0.008619582800538483,-0.6248529424204747
312,1461600.9055999988,1475230.0931999981,13629.187599999997,913094.5264999996,918242.8444999995,5148.317999999999,202414.4906000001,42.86938777823659,579,1766952.5425,1815954.0156999992,49001.47319999999,1102974.5605999997,1112739.6351999997,9765.0746,339514.31109999993,43.13312348955923,538,0.09794441610349568,5379765.2379000075,0.18972398963208903,0.1889265459719045,0.5171985708471816,0.017745187373013352,0.0031689984738986427,0.2637357113226386
320,909641.1157000009,923139.1309000009,13498.015199999998,688742.9426000005,702240.9578000006,13498.015199999998,45463.6458,41.40688670607695,273,987320.4376000003,1017761.1014000004,30440.663800000002,744484.5992,774925.2630000002,30440.663800000002,114166.7501,43.361690925420604,265,0.09591354620735933,3078481.1987000057,0.08194450152780064,0.07782405207619014,0.9207470866518683,0.01528757481112891,0.020060719775241365,1.9548042193436501
