date,n_noncit,n_natzd,n_native,n_total,sh_noncit,sh_natzd
2025-07-01,5039,5990,66491,77520,0.06500257997936017,0.0772703818369453
2025-08-01,5336,6332,69022,80690,0.06612963192464989,0.07847316891808155
2025-09-01,5302,6193,68528,80023,0.06625595141396848,0.07739025030303788
2025-11-01,4897,5871,64123,74891,0.06538836442296136,0.0783939325152555
2025-12-01,4978,5834,64190,75002,0.06637156342497533,0.07778459241086905
2026-01-01,4953,5978,63843,74774,0.06623960200069542,0.0799475753604194
2026-02-01,5001,6127,65269,76397,0.06546068562901684,0.08019948427294266
2026-03-01,4865,5874,63228,73967,0.06577257425608718,0.07941379263725716
2026-04-01,5065,6068,65728,76861,0.06589817983112371,0.07894771080261771
2026-05-01,5068,6128,66277,77473,0.06541633859538162,0.07909852464729648
2026-06-01,4955,5982,65519,76456,0.06480851731714973,0.07824107983676885
2026-07-01,4763,5999,64741,75503,0.06308358608267221,0.07945379653788591
2026-08-01,4920,6169,65253,76342,0.0644468313641246,0.08080741924497656
