date,window,pctile,wage,n,months,wage_lag12,yoy
2026-08-01,6,p40,23.86111111111111,31982,6,23.356737588652482,0.021594348120932416
2023-01-01,6,p50,24.340123456790124,33200,6,22.61842105263158,0.07611947801980778
2023-02-01,6,p50,24.502564102564104,33020,6,22.68358024691358,0.08018945139394495
2023-03-01,6,p50,24.511111111111113,33293,6,22.803703703703704,0.07487412700990759
2023-04-01,6,p50,24.45192161004518,33203,6,22.936666666666667,0.06606256111227338
2023-05-01,6,p50,24.538578088578088,33112,6,23.20777777777778,0.05734285822378893
2023-06-01,6,p50,24.627777777777776,33118,6,23.40840455840456,0.05209125706670226
2023-07-01,6,p50,24.743434343434345,32916,6,23.422822822822823,0.056381399056852244
2023-08-01,6,p50,24.73888888888889,32932,6,23.547777777777778,0.050582739583824976
2023-09-01,6,p50,24.88888888888889,32660,6,23.77777777777778,0.04672897196261672
2023-10-01,6,p50,25.160493827160494,32799,6,23.933333333333334,0.05127411534096771
2023-11-01,6,p50,25.233838383838386,32818,6,24.056060606060605,0.04895971111251085
2023-12-01,6,p50,25.27777777777778,33030,6,24.155555555555555,0.04645814167433304
2024-01-01,6,p50,25.331481481481482,33322,6,24.340123456790124,0.04072937536456078
2024-02-01,6,p50,25.460493827160494,33520,6,24.502564102564104,0.039095080848952746
2024-03-01,6,p50,25.507142857142856,33975,6,24.511111111111113,0.04063592798860238
2024-04-01,6,p50,25.52260273972603,34022,6,24.45192161004518,0.043787197863459415
2024-05-01,6,p50,25.52777777777778,34206,6,24.538578088578088,0.04031202156982894
2024-06-01,6,p50,25.566666666666666,34310,6,24.627777777777776,0.038123167155425186
2024-07-01,6,p50,25.623456790123456,34056,6,24.743434343434345,0.03556589738007099
2024-08-01,6,p50,25.63827160493827,33933,6,24.73888888888889,0.036355016593058176
2024-09-01,6,p50,25.814191178027656,33667,6,24.88888888888889,0.037177324117182664
2024-10-01,6,p50,25.985802469135802,33601,6,25.160493827160494,0.032801766437684066
2024-11-01,6,p50,26.233720930232558,33547,6,25.233838383838386,0.03962467109381862
2024-12-01,6,p50,26.427777777777777,33676,6,25.27777777777778,0.04549450549450551
2025-01-01,6,p50,26.628888888888888,33873,6,25.331481481481482,0.0512171942393449
2025-02-01,6,p50,26.776543209876543,34000,6,25.460493827160494,0.051689860834990053
2025-03-01,6,p50,26.82962962962963,34206,6,25.507142857142856,0.05184770320586618
2025-04-01,6,p50,26.980864197530863,33993,6,25.52260273972603,0.05713607944596677
2025-05-01,6,p50,26.955555555555556,33722,6,25.52777777777778,0.055930359085963
2025-06-01,6,p50,26.983760683760682,33422,6,25.566666666666666,0.055427406144485714
2025-07-01,6,p50,26.969753086419754,32868,6,25.623456790123456,0.052541556251505694
2025-08-01,6,p50,27.014114114114115,32545,6,25.63827160493827,0.05366362172833972
2025-09-01,6,p50,27.122222222222224,32193,6,25.814191178027656,0.05067100631484944
2025-10-01,6,p50,27.076459510357815,26826,5,25.985802469135802,0.04197126652207195
2025-11-01,6,p50,27.205555555555556,26736,5,26.233720930232558,0.03704524523637165
2025-12-01,6,p50,27.22222222222222,26468,5,26.427777777777777,0.030060962791675472
2026-01-01,6,p50,27.28641975308642,26401,5,26.628888888888888,0.024692388290819434
2026-02-01,6,p50,27.336200716845877,26491,5,26.776543209876543,0.020901036499846093
2026-03-01,6,p50,27.34141414141414,26569,5,26.82962962962963,0.01907534762311136
2026-04-01,6,p50,27.41111111111111,31857,6,26.980864197530863,0.015946372600608605
2026-05-01,6,p50,27.405555555555555,32052,6,26.955555555555556,0.016694146743610805
2026-06-01,6,p50,27.42610229276896,32139,6,26.983760683760682,0.016392882155765953
2026-07-01,6,p50,27.453972895200966,32289,6,26.969753086419754,0.01795418027112139
2026-08-01,6,p50,27.51111111111111,31982,6,27.014114114114115,0.018397678891025615
2023-01-01,12,p10,12.97072072072072,68108,12,11.877777777777778,0.09201577630015412
2023-02-01,12,p10,13.061111111111112,67633,12,11.983333333333334,0.08993973110802034
2023-03-01,12,p10,13.2,67398,12,12.056060606060607,0.09488500691215274
2023-04-01,12,p10,13.273540489642185,67120,12,12.195555555555556,0.08839162178188475
2023-05-01,12,p10,13.338888888888889,66858,12,12.320370370370371,0.08266947241845779
2023-06-01,12,p10,13.416666666666666,66462,12,12.392592592592592,0.08263598326359833
2023-07-01,12,p10,13.483333333333333,66116,12,12.455555555555556,0.08251561106155214
2023-08-01,12,p10,13.544444444444444,65952,12,12.516666666666667,0.08211273857079449
2023-09-01,12,p10,13.633333333333333,65953,12,12.588888888888889,0.08296557811120908
2023-10-01,12,p10,13.693333333333333,66002,12,12.661111111111111,0.08152698551996496
2023-11-01,12,p10,13.738888888888889,65930,12,12.761111111111111,0.0766216804527644
2023-12-01,12,p10,13.838888888888889,66148,12,12.866666666666667,0.07556131260794463
2024-01-01,12,p10,13.966666666666667,66238,12,12.97072072072072,0.07678416391734677
2024-02-01,12,p10,14.087654320987655,66452,12,13.061111111111112,0.07859539675788074
2024-03-01,12,p10,14.13888888888889,66635,12,13.2,0.07112794612794615
2024-04-01,12,p10,14.22037037037037,66821,12,13.273540489642185,0.07133212736021943
2024-05-01,12,p10,14.257936507936508,67024,12,13.338888888888889,0.06889986315225793
2024-06-01,12,p10,14.322222222222223,67340,12,13.416666666666666,0.06749482401656315
2024-07-01,12,p10,14.368055555555555,67378,12,13.483333333333333,0.06561598681499792
2024-08-01,12,p10,14.38888888888889,67453,12,13.544444444444444,0.06234618539786707
2024-09-01,12,p10,14.44920634920635,67642,12,13.633333333333333,0.059843986494353185
2024-10-01,12,p10,14.526190476190477,67623,12,13.693333333333333,0.060822089303101956
2024-11-01,12,p10,14.544444444444444,67753,12,13.738888888888889,0.058633238980994706
2024-12-01,12,p10,14.58611111111111,67986,12,13.838888888888889,0.053994379767161815
2025-01-01,12,p10,14.63888888888889,67929,12,13.966666666666667,0.048130469371519435
2025-02-01,12,p10,14.642857142857142,67933,12,14.087654320987655,0.03941059378794898
2025-03-01,12,p10,14.644444444444444,67873,12,14.13888888888889,0.03575638506876211
